2026-03-15 04:14:52 [INFO] Fetching today's prices from sharesansar…
2026-03-15 04:15:05 [WARNING] Connection error on attempt 1/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:20 [WARNING] Connection error on attempt 2/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [WARNING] Connection error on attempt 3/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [ERROR] Failed after 3 attempts: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [ERROR] Could not fetch today's data from sharesansar
2026-03-15 04:15:28 [INFO] [NABIL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:15:29 [WARNING] Connection error on attempt 1/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:45 [WARNING] Connection error on attempt 2/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [WARNING] Connection error on attempt 3/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [ERROR] Failed after 3 attempts: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:27:55 [INFO] [GBBL] Already up-to-date, nothing to add
2026-03-15 04:27:55 [INFO] [KSBBL] Already up-to-date, nothing to add
2026-03-15 04:27:55 [INFO] [MNBBL] Already up-to-date, nothing to add
2026-03-15 04:27:55 [INFO] [UNL] Already up-to-date, nothing to add
2026-03-15 04:27:55 [INFO] [BNL] Already up-to-date, nothing to add
2026-03-15 04:27:55 [INFO] [NLO] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:27:56 [WARNING] [NLO] No data found
2026-03-15 04:27:56 [INFO] [SHIVM] Already up-to-date, nothing to add
2026-03-15 04:27:56 [INFO] [GCIL] Already up-to-date, nothing to add
2026-03-15 04:27:56 [INFO] [TRH] Already up-to-date, nothing to add
2026-03-15 04:27:56 [INFO] [OHL] Already up-to-date, nothing to add
2026-03-15 04:27:56 [INFO] ============================================================
2026-03-15 04:27:56 [INFO] Done.  Updated: 212  |  Already up-to-date: 48  |  Failed: 3
2026-03-15 04:27:56 [WARNING] Failed: SOHL, GANAPATI, NLO
2026-03-15 04:33:30 [INFO] Fetching today's prices from sharesansar…
2026-03-15 04:33:36 [INFO] Fetched today's data for 335 symbols from sharesansar
2026-03-15 04:33:36 [INFO] [ACLBSL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [ADBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [AHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [AHPC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [AKJCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [AKPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [ALBSL] Already up-to-date, nothing to add
